date,MSFT.Open,MSFT.High,MSFT.Low,MSFT.Close,MSFT.Volume,MSFT.Adjusted,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,,
3/5/21,229.520004,233.270004,226.460007,231.600006,41872800,229.194946,120.980003,121.940002,117.57,121.419998,153766600,120.525513,,
3/8/21,231.369995,233.369995,227.130005,227.389999,35267400,225.028671,120.93,121,116.209999,116.360001,154376600,115.502792,,
3/9/21,232.880005,235.380005,231.669998,233.779999,33080500,231.352295,119.029999,122.059998,118.790001,121.089996,129525800,120.197945,,
3/10/21,237,237,232.039993,232.419998,29746800,230.006424,121.690002,122.169998,119.449997,119.980003,111943300,119.096138,,
3/11/21,234.960007,239.169998,234.309998,237.130005,29907600,234.667526,122.540001,123.209999,121.260002,121.959999,103026500,121.061539,,
3/12/21,234.009995,235.820007,233.229996,235.75,22653700,233.301834,120.400002,121.169998,119.160004,121.029999,88105100,120.13839,,
3/15/21,234.960007,235.190002,231.809998,234.809998,26034900,232.371613,121.410004,124,120.419998,123.989998,92403800,123.076584,,
3/16/21,236.279999,240.059998,235.940002,237.710007,28092200,235.241486,125.699997,127.220001,124.720001,125.57,115227900,124.644943,,
3/17/21,236.149994,238.550003,233.229996,237.039993,29562100,234.578445,124.050003,125.860001,122.339996,124.760002,111932600,123.840912,,
3/18/21,232.559998,234.190002,230.330002,230.720001,34833000,228.324081,122.879997,123.18,120.32,120.529999,121229700,119.642082,,
3/19/21,231.020004,232.470001,229.350006,230.350006,46430700,227.957932,119.900002,121.43,119.68,119.989998,185549500,119.106056,,
3/22/21,230.270004,236.899994,230.139999,235.990005,30127000,233.539368,120.330002,123.870003,120.260002,123.389999,111912300,122.48101,,
3/23/21,237.490005,241.050003,237.070007,237.580002,31638400,235.112854,123.330002,124.239998,122.139999,122.540001,95467100,121.637276,,
3/24/21,237.850006,238,235.320007,235.460007,25620100,233.014877,122.82,122.900002,120.07,120.089996,88530500,119.205307,,
3/25/21,235.300003,236.940002,231.570007,232.339996,34061900,229.927261,119.540001,121.660004,119,120.589996,98844700,119.701622,,
3/26/21,231.550003,236.710007,231.550003,236.479996,25479900,234.024261,120.349998,121.480003,118.919998,121.209999,94071200,120.317055,,
3/29/21,236.589996,236.800003,231.880005,235.240005,25227500,232.79715,121.650002,122.580002,120.730003,121.389999,80819200,120.495735,,
3/30/21,233.529999,233.850006,231.100006,231.850006,24792000,229.442352,120.110001,120.400002,118.860001,119.900002,85671900,119.016724,,
3/31/21,232.910004,239.100006,232.389999,235.770004,43623500,233.32164,121.650002,123.519997,121.150002,122.150002,118323800,121.250145,,
4/1/21,238.470001,242.839996,238.050003,242.350006,30338000,239.833313,123.660004,124.18,122.489998,123,75089100,122.09388,,
4/5/21,242.759995,249.960007,242.699997,249.070007,36910600,246.483536,123.870003,126.160004,123.07,125.900002,88651200,124.972519,,
4/6/21,247.610001,249.399994,246.880005,247.860001,22931900,245.286102,126.5,127.129997,125.650002,126.209999,80171300,125.280235,,
4/7/21,247.809998,250.929993,247.190002,249.899994,22719800,247.304886,125.830002,127.919998,125.139999,127.900002,83466700,126.957787,,
4/8/21,252.770004,254.139999,252,253.25,23625200,250.620117,128.949997,130.389999,128.520004,130.360001,88844600,129.399658,,
4/9/21,252.869995,255.990005,252.440002,255.850006,24326800,253.193115,129.800003,133.039993,129.470001,133,106686700,132.020218,,
4/12/21,254.710007,257.670013,254.619995,255.910004,27148700,253.252487,132.520004,132.850006,130.630005,131.240005,91420000,130.273193,,
4/13/21,257.26001,259.190002,256.829987,258.48999,23837500,255.805695,132.440002,134.660004,131.929993,134.429993,91266500,133.439682,,
4/14/21,257.480011,258.829987,255.160004,255.589996,23070900,252.935806,134.940002,135,131.660004,132.029999,87222800,131.057358,,
4/15/21,257.929993,259.929993,257.730011,259.5,25627500,256.805206,133.820007,135,133.639999,134.5,89347100,133.509155,,
4/16/21,259.470001,261,257.600006,260.73999,24878600,258.032349,134.300003,134.669998,133.279999,134.160004,84922400,133.171661,,
4/19/21,260.190002,261.480011,257.820007,258.73999,23209300,256.053131,133.509995,135.470001,133.339996,134.839996,94264200,133.846664,,
4/20/21,257.820007,260.200012,256.839996,258.26001,19722900,255.57811,135.020004,135.529999,131.809998,133.110001,94812300,132.12941,,
4/21/21,258.940002,260.679993,257.25,260.579987,24030400,257.874023,132.360001,133.75,131.300003,133.5,68847100,132.516525,,
4/22/21,260.209991,261.779999,255.639999,257.170013,25606200,254.499405,133.039993,134.149994,131.410004,131.940002,84566500,130.968002,,
4/23/21,257.880005,261.51001,257.269989,261.149994,21462600,258.43808,132.160004,135.119995,132.160004,134.320007,78657500,133.330505,,
4/26/21,261.660004,262.440002,260.170013,261.549988,19763300,258.833923,134.830002,135.059998,133.559998,134.720001,66905100,133.727524,,
4/27/21,261.579987,263.190002,260.119995,261.970001,31014200,259.249573,135.009995,135.410004,134.110001,134.389999,66015800,133.399963,,
4/28/21,256.079987,256.540009,252.949997,254.559998,46903100,251.916519,134.309998,135.020004,133.080002,133.580002,107760100,132.595947,,
4/29/21,255.460007,256.100006,249,252.509995,40589000,249.887787,136.470001,137.070007,132.449997,133.479996,151101000,132.496674,,
4/30/21,249.740005,253.080002,249.600006,252.179993,30945100,249.561218,131.779999,133.559998,131.070007,131.460007,109839500,130.491547,,
5/3/21,253.399994,254.350006,251.119995,251.860001,19626600,249.244537,132.039993,134.070007,131.830002,132.539993,75135100,131.563599,,
5/4/21,250.970001,251.210007,245.759995,247.789993,32756100,245.216797,131.190002,131.490005,126.699997,127.849998,137564700,126.90815,,
5/5/21,249.059998,249.5,245.820007,246.470001,21901300,243.910522,129.199997,130.449997,127.970001,128.100006,84000900,127.156311,,
5/6/21,246.449997,249.860001,244.690002,249.729996,26491100,247.136673,127.889999,129.75,127.129997,129.740005,78128300,128.784256,,
5/7/21,252.149994,254.300003,251.169998,252.460007,27032900,249.838318,130.850006,131.259995,129.479996,130.210007,78973300,129.470306,,
5/10/21,250.869995,251.729996,247.119995,247.179993,29299900,244.613144,129.410004,129.539993,126.809998,126.849998,88071200,126.129395,,
5/11/21,244.550003,246.600006,242.570007,246.229996,33641600,243.673019,123.5,126.269997,122.769997,125.910004,126142800,125.19474,,
5/12/21,242.169998,244.380005,238.070007,239,36684400,236.518112,123.400002,124.639999,122.25,122.769997,112172300,122.072563,,
5/13/21,241.800003,245.600006,241.419998,243.029999,29624300,240.506256,124.580002,126.150002,124.260002,124.970001,105861300,124.260071,,
5/14/21,245.580002,249.179993,245.490005,248.149994,23901100,245.573074,126.25,127.889999,125.849998,127.449997,81918000,126.72599,,
5/17/21,246.550003,246.589996,243.520004,245.179993,24970200,242.633911,126.82,126.93,125.169998,126.269997,74244600,125.552689,,
5/18/21,246.270004,246.410004,242.899994,243.080002,20168000,240.55574,126.559998,126.989998,124.779999,124.849998,63342900,124.140747,,
5/19/21,239.309998,243.229996,238.600006,243.119995,25739800,241.150879,123.160004,124.919998,122.860001,124.690002,92612000,123.981667,,
5/20/21,243.960007,247.949997,243.860001,246.479996,21800700,244.483658,125.230003,127.720001,125.099998,127.309998,76857100,126.586777,,
5/21/21,247.570007,248.330002,244.740005,245.169998,21863100,243.18425,127.82,128,125.209999,125.43,79295400,124.717468,,
